score,reasons,composer,work_a_id,work_a_title,work_a_sources,work_b_id,work_b_title,work_b_sources
1.15,substring,"Aramaki, Michio",532774,"66*4, Op.8 (Aramaki, Michio)",imslp|ds=2,532775,"66*4, Op.8b (Aramaki, Michio)",imslp|ds=2
1.15,substring,"Aramaki, Michio",532796,"Spade 2, Op.5 (Aramaki, Michio)",imslp|ds=2,532797,"Spade 2, Op.5b (Aramaki, Michio)",imslp|ds=2
1.15,substring,"Bastos, Paulo",534848,Cinco canções de Miguel Torga,sheerpluck|ds=1,534847,Cinco Canções de Miguel Torga,sheerpluck|ds=1
1.15,substring,"Beatty, Stephen W.",535248,"Guitar Concerto, Op.1877 (Beatty, Stephen W.)",imslp|ds=2,535250,"Guitar Concerto, Op.1882 (Beatty, Stephen W.)",imslp|ds=2
1.15,substring,"Benzon, Siegfried",536220,"Polonaise (Benzon, Siegfried)",imslp|ds=2,536221,"Polonaise, Op.12 (Benzon, Siegfried)",imslp|ds=2
1.15,substring,"Berenguer Alarcón, Josep Manuel",536239,Buleria a Menorca,sheerpluck|ds=1,536241,Bulería a Menorca,sheerpluck|ds=1
1.15,substring,"Beuger, Antoine",536684,que le lieu,sheerpluck|ds=1,536685,que le lieu (2),sheerpluck|ds=1
1.15,substring,"Blondeau, Thierry",537339,Pèle-Mêle,sheerpluck|ds=1,537340,Pêle-Mêle,sheerpluck|ds=1
1.15,substring,"Bryars, Gavin",540112,After the Requiem,sheerpluck|ds=1,540113,After the Requiem (Septet),sheerpluck|ds=1
1.15,substring,"Bryars, Gavin",540123,Jesus' Blood Never Failed Me Yet (i),sheerpluck|ds=1,540124,Jesus' Blood Never Failed Me Yet (ii),sheerpluck|ds=1
1.15,substring,"Call, Leonhard von",541111,"Serenade for 2 Flutes and Guitar, Op.69 (Call, Leonhard von)",imslp|ds=2,541112,"Serenade for 2 Flutes and Guitar, Op.92 (Call, Leonhard von)",imslp|ds=2
1.15,substring,"Call, Leonhard von",541118,"Serenade for Guitar and Cello, Op.84 (Call, Leonhard von)",imslp|ds=2,541119,"Serenade for Guitar and Cello, Op.99 (Call, Leonhard von)",imslp|ds=2
1.15,substring,"Call, Leonhard von",541123,"Serenade for Guitar and Violin, Op.129 (Call, Leonhard von)",imslp|ds=2,541127,"Serenade for Guitar and Violin, Op.54 (Call, Leonhard von)",imslp|ds=2
1.15,substring,"Call, Leonhard von",541139,"Sérénade, Op.127 (Call, Leonhard von)",imslp|ds=2,541142,"Sérénade, Op.3 (Call, Leonhard von)",imslp|ds=2
1.15,substring,"Call, Leonhard von",541139,"Sérénade, Op.127 (Call, Leonhard von)",imslp|ds=2,541147,"Sérénade, Op.65 (Call, Leonhard von)",imslp|ds=2
1.15,substring,"Call, Leonhard von",541142,"Sérénade, Op.3 (Call, Leonhard von)",imslp|ds=2,541147,"Sérénade, Op.65 (Call, Leonhard von)",imslp|ds=2
1.15,substring,"Call, Leonhard von",541161,"Variations for Guitar and Mandolin, Op.111 (Call, Leonhard von)",imslp|ds=2,541162,"Variations for Guitar and Mandolin, Op.25 (Call, Leonhard von)",imslp|ds=2
1.15,substring,"Carulli, Ferdinando",542298,"Duo concertant, Op.27 (Carulli, Ferdinando)",imslp|ds=2,542299,"Duo concertant, Op.328 (Carulli, Ferdinando)",imslp|ds=2
1.15,substring,"De Smet, Raoul",547501,Noche serena,sheerpluck|ds=1,547502,Noche serena (bis),sheerpluck|ds=1
1.15,substring,"Diaz, Rafael",548596,"Flamenco, Op.1 (Diaz, Rafael)",imslp|ds=2,548597,"Flamenco, Op.2 (Diaz, Rafael)",imslp|ds=2
1.15,substring,"Diaz, Rafael",548596,"Flamenco, Op.1 (Diaz, Rafael)",imslp|ds=2,548598,"Flamenco, Op.3 (Diaz, Rafael)",imslp|ds=2
1.15,substring,"Diaz, Rafael",548596,"Flamenco, Op.1 (Diaz, Rafael)",imslp|ds=2,548599,"Flamenco, Op.7 (Diaz, Rafael)",imslp|ds=2
1.15,substring,"Diaz, Rafael",548596,"Flamenco, Op.1 (Diaz, Rafael)",imslp|ds=2,548600,"Flamenco, Op.9 (Diaz, Rafael)",imslp|ds=2
1.15,substring,"Diaz, Rafael",548597,"Flamenco, Op.2 (Diaz, Rafael)",imslp|ds=2,548598,"Flamenco, Op.3 (Diaz, Rafael)",imslp|ds=2
1.15,substring,"Diaz, Rafael",548597,"Flamenco, Op.2 (Diaz, Rafael)",imslp|ds=2,548599,"Flamenco, Op.7 (Diaz, Rafael)",imslp|ds=2
1.15,substring,"Diaz, Rafael",548597,"Flamenco, Op.2 (Diaz, Rafael)",imslp|ds=2,548600,"Flamenco, Op.9 (Diaz, Rafael)",imslp|ds=2
1.15,substring,"Diaz, Rafael",548598,"Flamenco, Op.3 (Diaz, Rafael)",imslp|ds=2,548599,"Flamenco, Op.7 (Diaz, Rafael)",imslp|ds=2
1.15,substring,"Diaz, Rafael",548598,"Flamenco, Op.3 (Diaz, Rafael)",imslp|ds=2,548600,"Flamenco, Op.9 (Diaz, Rafael)",imslp|ds=2
1.15,substring,"Diaz, Rafael",548599,"Flamenco, Op.7 (Diaz, Rafael)",imslp|ds=2,548600,"Flamenco, Op.9 (Diaz, Rafael)",imslp|ds=2
1.15,substring,"Díaz, Rafael",550624,Flamenco opus 1,sheerpluck|ds=1,550625,Flamenco opus 2,sheerpluck|ds=1
1.15,substring,"Díaz, Rafael",550624,Flamenco opus 1,sheerpluck|ds=1,550626,Flamenco opus 3,sheerpluck|ds=1
1.15,substring,"Díaz, Rafael",550624,Flamenco opus 1,sheerpluck|ds=1,550627,Flamenco opus 7,sheerpluck|ds=1
1.15,substring,"Díaz, Rafael",550624,Flamenco opus 1,sheerpluck|ds=1,550628,Flamenco opus 9,sheerpluck|ds=1
1.15,substring,"Díaz, Rafael",550625,Flamenco opus 2,sheerpluck|ds=1,550626,Flamenco opus 3,sheerpluck|ds=1
1.15,substring,"Díaz, Rafael",550625,Flamenco opus 2,sheerpluck|ds=1,550627,Flamenco opus 7,sheerpluck|ds=1
1.15,substring,"Díaz, Rafael",550625,Flamenco opus 2,sheerpluck|ds=1,550628,Flamenco opus 9,sheerpluck|ds=1
1.15,substring,"Díaz, Rafael",550626,Flamenco opus 3,sheerpluck|ds=1,550627,Flamenco opus 7,sheerpluck|ds=1
1.15,substring,"Díaz, Rafael",550626,Flamenco opus 3,sheerpluck|ds=1,550628,Flamenco opus 9,sheerpluck|ds=1
1.15,substring,"Díaz, Rafael",550627,Flamenco opus 7,sheerpluck|ds=1,550628,Flamenco opus 9,sheerpluck|ds=1
1.15,substring,"Espinheira, Alexandre",551669,Groove (Arrastado),sheerpluck|ds=1,551670,Groove (rock’n roll),sheerpluck|ds=1
1.15,substring,"Fernández, Agustín",552664,A to Z,sheerpluck|ds=1,552665,A to Z (5 out of 9),sheerpluck|ds=1
1.15,substring,"Fortea, Daniel",554002,Melodia,sheerpluck|ds=1,554003,Melodía,sheerpluck|ds=1
1.15,substring,"Fukuda, Akira",554954,Rhapsody,sheerpluck|ds=1,554955,Rhapsody (revised),sheerpluck|ds=1
1.15,substring,"Giuliani, Mauro",556972,"16 Piéces faciles et agréables, Op.59 (Giuliani, Mauro)",imslp|ds=2,556971,"16 Pièces faciles et agréables, Op.74 (Giuliani, Mauro)",imslp|ds=2
1.15,substring,"Gnattali, Radamés",557304,Tocata em ritmo de samba No.2,sheerpluck|ds=1,557306,Tocata em rítmo de samba No.2,sheerpluck|ds=1
1.15,substring,"Gramatges, Harold",558041,Para la Dama Duende,sheerpluck|ds=1,558042,Para La Dama Duende,sheerpluck|ds=1
1.15,substring,"Greenwald, Andrew",558294,A Thing Made Whole (IV),sheerpluck|ds=1,558295,A Thing Made Whole (VI),sheerpluck|ds=1
1.15,substring,"Handel, Amanda",559702,Zapatos de tacon,sheerpluck|ds=1,559703,Zapatos de tacón,sheerpluck|ds=1
1.15,substring,"Henze, Bruno",560881,Suite in h-moll,sheerpluck|ds=1,560880,Suite in h-Moll,sheerpluck|ds=1
1.15,substring,"Hochweber, Jörg",561616,Jubel Walzer,sheerpluck|ds=1,561617,Jubel-Walzer,sheerpluck|ds=1
1.15,substring,"Hochweber, Jörg",561658,Tango de salón,sheerpluck|ds=1,561659,Tango de Salón,sheerpluck|ds=1
1.15,substring,"Homs Oller, Joaquim",562000,Entre dues linies,sheerpluck|ds=1,562001,Entre dues línies,sheerpluck|ds=1
1.15,substring,"Houghton, Mark",562225,Guitarchestra No. 10,sheerpluck|ds=1,562234,Guitarchestra No.10,sheerpluck|ds=1
1.15,substring,"Jong, Christiaan de",564650,Toch wel,sheerpluck|ds=1,564649,Toch Wel,sheerpluck|ds=1
1.15,substring,"Kelly, Elizabeth A.",565817,Yes...,sheerpluck|ds=1,565818,Yes...(solo),sheerpluck|ds=1
1.15,substring,"Küffner, Joseph",568745,"Serenade for Violin, Viola and Guitar, Op.214 (Küffner, Joseph)",imslp|ds=2,568746,"Serenade for Violin, Viola and Guitar, Op.35 (Küffner, Joseph)",imslp|ds=2
1.15,substring,"Lindgren, Olof",570909,Livet - kärleken - döden,sheerpluck|ds=1,570910,Livet - Kärleken - Döden,sheerpluck|ds=1
1.15,substring,"Margola, Franco",573438,Sonata,sheerpluck|ds=1,573439,Sonata (Cinque annotazioni),sheerpluck|ds=1
1.15,substring,"Margola, Franco",573438,Sonata,sheerpluck|ds=1,573440,Sonata (Trio),sheerpluck|ds=1
1.15,substring,"Margola, Franco",573439,Sonata (Cinque annotazioni),sheerpluck|ds=1,573440,Sonata (Trio),sheerpluck|ds=1
1.15,substring,"Margola, Franco",573450,Sonata Terza,sheerpluck|ds=1,573451,Sonata Terza (poi Quinta),sheerpluck|ds=1
1.15,substring,"Menoud, John",575224,Mademoiselle V (deuxième chapitre),sheerpluck|ds=1,575225,Mademoiselle V (premier chapitre),sheerpluck|ds=1
1.15,substring,"Molino, Francesco",576159,"3 Sonatas for Guitar and Violin, Op.2 (Molino, Francesco)",imslp|ds=2,576160,"3 Sonatas for Guitar and Violin, Op.22 (Molino, Francesco)",imslp|ds=2
1.15,substring,"Molino, Francesco",576159,"3 Sonatas for Guitar and Violin, Op.2 (Molino, Francesco)",imslp|ds=2,576161,"3 Sonatas for Guitar and Violin, Op.29 (Molino, Francesco)",imslp|ds=2
1.15,substring,"Molino, Francesco",576160,"3 Sonatas for Guitar and Violin, Op.22 (Molino, Francesco)",imslp|ds=2,576161,"3 Sonatas for Guitar and Violin, Op.29 (Molino, Francesco)",imslp|ds=2
1.15,substring,"Munier, Carlo",577453,"Barcarola (Munier, Carlo)",imslp|ds=2,577454,"Barcarola, Op.252 (Munier, Carlo)",imslp|ds=2
1.15,substring,"Munier, Carlo",577453,"Barcarola (Munier, Carlo)",imslp|ds=2,577455,"Barcarola, Op.45 (Munier, Carlo)",imslp|ds=2
1.15,substring,"Munier, Carlo",577454,"Barcarola, Op.252 (Munier, Carlo)",imslp|ds=2,577455,"Barcarola, Op.45 (Munier, Carlo)",imslp|ds=2
1.15,substring,"Munier, Carlo",577504,"Romanza, Op.142 (Munier, Carlo)",imslp|ds=2,577505,"Romanza, Op.250 (Munier, Carlo)",imslp|ds=2
1.15,substring,"Oliva, Julio César",580234,La lejanía de los perfumes,sheerpluck|ds=1,580235,La lejanía de los perfumes (sobre melodías mexicanas),sheerpluck|ds=1
1.15,substring,"Oliva, Julio César",580253,México mágico,sheerpluck|ds=1,580252,México Mágico,sheerpluck|ds=1
1.15,substring,"Pisaro, Michael",583590,mind is moving (I),sheerpluck|ds=1,583591,mind is moving (IX),sheerpluck|ds=1
1.15,substring,"Ruiz-Pipó, Antonio",588926,Tres en raya,sheerpluck|ds=1,588925,Tres en Raya,sheerpluck|ds=1
1.15,substring,"Scherbaum, Adolf",590917,no title (2 Sätze für Ensemble),sheerpluck|ds=1,590919,no title (Konzert für Flöte und Orchester),sheerpluck|ds=1
1.15,substring,"Scherbaum, Adolf",590917,no title (2 Sätze für Ensemble),sheerpluck|ds=1,590924,"no title (Musik für 2 Gitarren, Schlagzeug, Bass und Solo Oboe)",sheerpluck|ds=1
1.15,substring,"Scherbaum, Adolf",590917,no title (2 Sätze für Ensemble),sheerpluck|ds=1,590925,no title (Musik für Elektrogitarre Solo),sheerpluck|ds=1
1.15,substring,"Scherbaum, Adolf",590917,no title (2 Sätze für Ensemble),sheerpluck|ds=1,590930,"no title (Musik für Klavier, Gitarre und Streicher in einem Satz)",sheerpluck|ds=1
1.15,substring,"Scherbaum, Adolf",590919,no title (Konzert für Flöte und Orchester),sheerpluck|ds=1,590924,"no title (Musik für 2 Gitarren, Schlagzeug, Bass und Solo Oboe)",sheerpluck|ds=1
1.15,substring,"Scherbaum, Adolf",590919,no title (Konzert für Flöte und Orchester),sheerpluck|ds=1,590925,no title (Musik für Elektrogitarre Solo),sheerpluck|ds=1
1.15,substring,"Scherbaum, Adolf",590919,no title (Konzert für Flöte und Orchester),sheerpluck|ds=1,590930,"no title (Musik für Klavier, Gitarre und Streicher in einem Satz)",sheerpluck|ds=1
1.15,substring,"Scherbaum, Adolf",590924,"no title (Musik für 2 Gitarren, Schlagzeug, Bass und Solo Oboe)",sheerpluck|ds=1,590925,no title (Musik für Elektrogitarre Solo),sheerpluck|ds=1
1.15,substring,"Scherbaum, Adolf",590924,"no title (Musik für 2 Gitarren, Schlagzeug, Bass und Solo Oboe)",sheerpluck|ds=1,590930,"no title (Musik für Klavier, Gitarre und Streicher in einem Satz)",sheerpluck|ds=1
1.15,substring,"Scherbaum, Adolf",590925,no title (Musik für Elektrogitarre Solo),sheerpluck|ds=1,590930,"no title (Musik für Klavier, Gitarre und Streicher in einem Satz)",sheerpluck|ds=1
1.15,substring,"Schneider, Gunter",591287,... Im Meer der Stille,sheerpluck|ds=1,591305,Im Meer der Stille,sheerpluck|ds=1
1.15,substring,"Schneider, Joachim F.W.",591327,Guru,sheerpluck|ds=1,591328,Guru (II),sheerpluck|ds=1
1.15,substring,"Scotto, Ciro",592030,Between Rock and a Hard Place,sheerpluck|ds=1,592031,Between Rock and a Hard Place (Unplugged),sheerpluck|ds=1
1.15,substring,"Sheen, Jack",592639,Hollow propranolol séance (II),sheerpluck|ds=1,592640,Hollow propranolol séance (installation),sheerpluck|ds=1
1.15,substring,"Sherlock, John Mark",592688,belladonna,sheerpluck|ds=1,592689,belladonna (revised),sheerpluck|ds=1
1.15,substring,"Spada, Luca",594519,"Alleluja, Op.54 (Spada, Luca)",imslp|ds=2,594520,"Alleluja, Op.62 (Spada, Luca)",imslp|ds=2
1.15,substring,"Travlos, Michail",598360,Paradox suite,sheerpluck|ds=1,598359,Paradox Suite,sheerpluck|ds=1
1.15,substring,"Tuczeck, Vincenz Franz",598794,"8 Variations, Op.10 (Tuczeck, Vincenz Franz)",imslp|ds=2,598795,"8 Variations, Op.8 (Tuczeck, Vincenz Franz)",imslp|ds=2
1.15,substring,"Vidal, B.",600487,"Recueil d'Airs, Op.18 (Vidal, B.)",imslp|ds=2,600488,"Recueil d'Airs, Op.19 (Vidal, B.)",imslp|ds=2
1.15,substring,"Wistuba Álvarez, Vladimir",603062,Martes 13 de tango (1),sheerpluck|ds=1,603064,Martes 13 de tango (3),sheerpluck|ds=1
1.147,"substring,same-instrumentation","Porto Alegre, Paulo",584162,Sonata II,sheerpluck|ds=1,584163,Sonata III,sheerpluck|ds=1
1.141,"substring,same-instrumentation","Darr, Adam",547019,"Duo No.1 (Darr, Adam)",imslp|ds=2,547020,"Duo No.10 (Darr, Adam)",imslp|ds=2
1.141,"substring,same-instrumentation","Darr, Adam",547019,"Duo No.1 (Darr, Adam)",imslp|ds=2,547021,"Duo No.11 (Darr, Adam)",imslp|ds=2
1.141,"substring,same-instrumentation","Darr, Adam",547019,"Duo No.1 (Darr, Adam)",imslp|ds=2,547022,"Duo No.12 (Darr, Adam)",imslp|ds=2
1.141,"substring,same-instrumentation","Di Marino, Roberto",548408,Suite II,sheerpluck|ds=1,548409,Suite III,sheerpluck|ds=1
1.141,"substring,same-instrumentation","González Compeán, Francisco Javier",557510,Sonata I,sheerpluck|ds=1,557511,Sonata II,sheerpluck|ds=1
1.141,"substring,same-instrumentation","Porto Alegre, Paulo",584161,Sonata I,sheerpluck|ds=1,584162,Sonata II,sheerpluck|ds=1
1.141,"substring,same-instrumentation","Rekhin, Igor",586233,Sonata I,sheerpluck|ds=1,586234,Sonata II,sheerpluck|ds=1
1.139,"substring,same-instrumentation","Ubach, Alberto",599072,Mexican Lottery Suite V,sheerpluck|ds=1,599075,Mexican Lottery Suite VIII,sheerpluck|ds=1
1.135,cross-source,"Grayson, Martin",558238,"Variations on a Somerset Folk Song (Grayson, Martin)",imslp|ds=2,558239,Variations on a Somerset Folksong,sheerpluck|ds=1
1.134,substring,"Huber, Klaus",562426,Plainte - Die umgepflügte Zeit I,sheerpluck|ds=1,562427,Plainte - Die umgepflügte Zeit II,sheerpluck|ds=1
1.133,"substring,same-instrumentation","Diethelm, Caspar",548807,Suite I,sheerpluck|ds=1,548808,Suite II,sheerpluck|ds=1
1.133,substring,"Pasieczny, Marek",581840,Dodecaphonic Prelude & Fugue II,sheerpluck|ds=1,581841,Dodecaphonic Prelude & Fugue III,sheerpluck|ds=1
1.132,cross-source,"Meier, Georg",574868,"Nussdorfer Gitarristen Marsch (Meier, Georg)",imslp|ds=2,574869,Nussdorfer Gitarristenmarsch,sheerpluck|ds=1
