ID,Name,Birth Year,Death Year,Country,Work,Instrumentation,Link
1359,"Mertz, Johann Kaspar",1806,1856,,"Divertissement über 'Der Prophet', Op.32 (Mertz, Johann Kaspar)","Violin (or flute), viola, guitar",https://imslp.org/wiki/Divertissement_%C3%BCber_'Der_Prophet'%2C_Op.32_(Mertz%2C_Johann_Kaspar)
1360,"Hauptmann, Moritz",1792,1868,,"Divertissement, Op.8 (Hauptmann, Moritz)","violin, guitar",https://imslp.org/wiki/Divertissement%2C_Op.8_(Hauptmann%2C_Moritz)
1361,"Sor, Fernando",1778,1839,,"Divertissement, Op.23 (Sor, Fernando)",guitar,https://imslp.org/wiki/Divertissement%2C_Op.23_(Sor%2C_Fernando)
1362,"Giuliani, Mauro",1781,1829,,"Divertissement, Op.106 (Giuliani, Mauro)",guitar,https://imslp.org/wiki/Divertissement%2C_Op.106_(Giuliani%2C_Mauro)
1363,"Carulli, Ferdinando",1770,1841,,"3 Divertissements à l'espagnole, Op.209 (Carulli, Ferdinando)",guitar,https://imslp.org/wiki/3_Divertissements_%C3%A0_l'espagnole%2C_Op.209_(Carulli%2C_Ferdinando)
1364,"Molino, Francesco",1775,1847,,"Divertissements faciles, Op.11 (Molino, Francesco)",guitar,https://imslp.org/wiki/Divertissements_faciles%2C_Op.11_(Molino%2C_Francesco)
1365,"Carulli, Ferdinando",1770,1841,,"3 Divertissements pour guitare seule, Op.18 (Carulli, Ferdinando)",guitar,https://imslp.org/wiki/3_Divertissements_pour_guitare_seule%2C_Op.18_(Carulli%2C_Ferdinando)
1366,"Roldan, Eugène",,,,"Divertissements pour la guitare, Op.2 (Roldan, Eugène)",guitar,https://imslp.org/wiki/Divertissements_pour_la_guitare%2C_Op.2_(Roldan%2C_Eug%C3%A8ne)
1367,"Kníže, František Max",1784,1840,,"Divertissements pour la Guitarre seule, Op.5 (Kníže, František Max)",guitar,https://imslp.org/wiki/Divertissements_pour_la_Guitarre_seule%2C_Op.5_(Kn%C3%AD%C5%BEe%2C_Franti%C5%A1ek_Max)
1368,"Blum, Carl Wilhelm August",1786,1844,,"Divertissements progressifs, Book 1 (Blum, Carl Wilhelm August)",guitar,https://imslp.org/wiki/Divertissements_progressifs%2C_Book_1_(Blum%2C_Carl_Wilhelm_August)
1369,"Blum, Carl Wilhelm August",1786,1844,,"Divertissements progressifs, Book 2 (Blum, Carl Wilhelm August)",guitar,https://imslp.org/wiki/Divertissements_progressifs%2C_Book_2_(Blum%2C_Carl_Wilhelm_August)
1370,"Carulli, Ferdinando",1770,1841,,"3 Divertissements sur des motifs des 'Huguenots' (Carulli, Ferdinando)","flute (or violin), guitar",https://imslp.org/wiki/3_Divertissements_sur_des_motifs_des_'Huguenots'_(Carulli%2C_Ferdinando)
1371,"Gelli, F. Vincenzo",,,,"3 Divertissements (Gelli, F. Vincenzo)","flute (or violin), guitar",https://imslp.org/wiki/3_Divertissements_(Gelli%2C_F._Vincenzo)
1372,"Sor, Fernando",1778,1839,,"6 Divertissements, Op.1 (Sor, Fernando)",guitar,https://imslp.org/wiki/6_Divertissements%2C_Op.1_(Sor%2C_Fernando)
1373,"Sor, Fernando",1778,1839,,"6 Divertissements, Op.2 (Sor, Fernando)",guitar,https://imslp.org/wiki/6_Divertissements%2C_Op.2_(Sor%2C_Fernando)
1374,"Segura, Toribio",1795,1860,,"6 Divertissements, Op.3 (Segura, Toribio)",guitar,https://imslp.org/wiki/6_Divertissements%2C_Op.3_(Segura%2C_Toribio)
1375,"Sor, Fernando",1778,1839,,"6 Divertissements, Op.8 (Sor, Fernando)",guitar,https://imslp.org/wiki/6_Divertissements%2C_Op.8_(Sor%2C_Fernando)
1376,"Sor, Fernando",1778,1839,,"6 Divertissements, Op.13 (Sor, Fernando)",guitar,https://imslp.org/wiki/6_Divertissements%2C_Op.13_(Sor%2C_Fernando)
1377,"Carcassi, Matteo",1792,1853,,"Divertissements, Op.16 (Carcassi, Matteo)",Guitar,https://imslp.org/wiki/Divertissements%2C_Op.16_(Carcassi%2C_Matteo)
1378,"Kummer, Kaspar",1795,1870,,"3 Divertissements, Op.92 (Kummer, Kaspar)","Flute, Violin, Guitar",https://imslp.org/wiki/3_Divertissements%2C_Op.92_(Kummer%2C_Kaspar)
1379,"Carulli, Ferdinando",1770,1841,,"3 Divertissements, Op.342 (Carulli, Ferdinando)","flute (or violin), guitar",https://imslp.org/wiki/3_Divertissements%2C_Op.342_(Carulli%2C_Ferdinando)
1380,"Bayer, Eduard",1822,1908,,"Divertissement (Bayer, Eduard)",guitar,https://imslp.org/wiki/Divertissement_(Bayer%2C_Eduard)
1381,"Visser, Dick",1926,2012,,"Djet (Visser, Dick)","4, 8, 12 or 16 guitars",https://imslp.org/wiki/Djet_(Visser%2C_Dick)
1382,"Ponomareff, Dmitry",,,,"Do-re-mi-fa-mi-re-do (Ponomareff, Dmitry)","Guitar. (tuning: e-b-f#-D-A-D"")",https://imslp.org/wiki/Do-re-mi-fa-mi-re-do_(Ponomareff%2C_Dmitry)
1383,"Macedo, Norberto",1939,2011,,"Docemente (Macedo, Norberto)",Guitar,https://imslp.org/wiki/Docemente_(Macedo%2C_Norberto)
1384,"Lopes, Edson",,,,"Dois amigos (Lopes, Edson)",Guitar Duet,https://imslp.org/wiki/Dois_amigos_(Lopes%2C_Edson)
1385,"Aleksandrov, Nikolay",1818,1884,,"Dolce far niente (Aleksandrov, Nikolay)",guitar,https://imslp.org/wiki/Dolce_far_niente_(Aleksandrov%2C_Nikolay)
1386,"Munier, Carlo",1859,1911,,"Dolce malinconia, Op.235 (Munier, Carlo)","guitar, 2 mandolins, mandola",https://imslp.org/wiki/Dolce_malinconia%2C_Op.235_(Munier%2C_Carlo)
1387,"Munier, Carlo",1859,1911,,"Dolce Visione! (Munier, Carlo)","2 mandolin, mandola, guitar",https://imslp.org/wiki/Dolce_Visione!_(Munier%2C_Carlo)
1388,"Mozzani, Luigi",1869,1943,,"Dolore (Mozzani, Luigi)",guitar,https://imslp.org/wiki/Dolore_(Mozzani%2C_Luigi)
1389,"Marcoux, Jean-François",,1966,,"Les dominicaines (Marcoux, Jean-François)","flute (or violin), piano (or guitar)",https://imslp.org/wiki/Les_dominicaines_(Marcoux%2C_Jean-Fran%C3%A7ois)
1390,"Morales, Justo Tomás",1877,1953,,"Don Antonio (Morales, Justo Tomás)",guitar,https://imslp.org/wiki/Don_Antonio_(Morales%2C_Justo_Tom%C3%A1s)
1391,"Sirera, José",1884,1931,,"Don Eusebio (Sirera, José)",guitar,https://imslp.org/wiki/Don_Eusebio_(Sirera%2C_Jos%C3%A9)
1392,"Sirera, José",1884,1931,,"Don José (Sirera, José)",guitar,https://imslp.org/wiki/Don_Jos%C3%A9_(Sirera%2C_Jos%C3%A9)
1393,"Sagreras, Julio Salvador",1879,1942,,"Don Julio, Op.125 (Sagreras, Julio Salvador)",Guitar,https://imslp.org/wiki/Don_Julio%2C_Op.125_(Sagreras%2C_Julio_Salvador)
1394,"Barrios Mangoré, Agustín",1885,1944,,"Don Perez Freire (Barrios Mangoré, Agustín)",guitar,https://imslp.org/wiki/Don_Perez_Freire_(Barrios_Mangor%C3%A9%2C_Agust%C3%ADn)
1395,"Morkov, Vladimir",1801,1864,,"Don't Wake Me Up, Young (Morkov, Vladimir)",guitar,https://imslp.org/wiki/Don't_Wake_Me_Up%2C_Young_(Morkov%2C_Vladimir)
1396,"Santos, Joaquim Francisco dos",1873,1935,,"Dores D'Alma (Santos, Joaquim Francisco dos)",guitar,https://imslp.org/wiki/Dores_D'Alma_(Santos%2C_Joaquim_Francisco_dos)
