ID,Name,Birth Year,Death Year,Country,Work,Instrumentation,Link
3855,"Le Cocq, François",1660,1729,,"Menuet, f.52 II (Le Cocq, François)",5-course baroque guitar,https://imslp.org/wiki/Menuet%2C_f.52_II_(Le_Cocq%2C_Fran%C3%A7ois)
3856,"Le Cocq, François",1660,1729,,"Menuet, f.69 I (Le Cocq, François)",5-course baroque guitar,https://imslp.org/wiki/Menuet%2C_f.69_I_(Le_Cocq%2C_Fran%C3%A7ois)
3857,"Murcia, Santiago de",1673,1739,,"Menuet, Rda, f.88 II (Murcia, Santiago de)",5-course baroque guitar,https://imslp.org/wiki/Menuet%2C_Rda%2C_f.88_II_(Murcia%2C_Santiago_de)
3858,"Murcia, Santiago de",1673,1739,,"Menuet, Rda, f.89 (Murcia, Santiago de)",5-course baroque guitar,https://imslp.org/wiki/Menuet%2C_Rda%2C_f.89_(Murcia%2C_Santiago_de)
3859,"Murcia, Santiago de",1673,1739,,"Menuet, Rda, f.90 I (Murcia, Santiago de)",5-course baroque guitar,https://imslp.org/wiki/Menuet%2C_Rda%2C_f.90_I_(Murcia%2C_Santiago_de)
3860,"Murcia, Santiago de",1673,1739,,"Menuet, Rda, f.94 III (Murcia, Santiago de)",5-course baroque guitar,https://imslp.org/wiki/Menuet%2C_Rda%2C_f.94_III_(Murcia%2C_Santiago_de)
3861,"Murcia, Santiago de",1673,1739,,"Menuet, Rda, f.94 II (Murcia, Santiago de)",5-course baroque guitar,https://imslp.org/wiki/Menuet%2C_Rda%2C_f.94_II_(Murcia%2C_Santiago_de)
3862,"Murcia, Santiago de",1673,1739,,"Menuet, Rda, f.94 I (Murcia, Santiago de)",5-course baroque guitar,https://imslp.org/wiki/Menuet%2C_Rda%2C_f.94_I_(Murcia%2C_Santiago_de)
3863,"Murcia, Santiago de",1673,1739,,"Menuet, Rda, f.95 I (Murcia, Santiago de)",5-course baroque guitar,https://imslp.org/wiki/Menuet%2C_Rda%2C_f.95_I_(Murcia%2C_Santiago_de)
3864,"Campion, François",1685,1747,,"Menuet-Rondeau (Campion, François)",baroque guitar,https://imslp.org/wiki/Menuet-Rondeau_(Campion%2C_Fran%C3%A7ois)
3865,"Carulli, Ferdinando",1770,1841,,"3 Menuets and 3 Waltzes for Guitar, Op.84 (Carulli, Ferdinando)",guitar,https://imslp.org/wiki/3_Menuets_and_3_Waltzes_for_Guitar%2C_Op.84_(Carulli%2C_Ferdinando)
3866,"Matiegka, Wenzel Thomas",1773,1830,,"12 Menuets brillans pour Guitare, Op.15 (Matiegka, Wenzel Thomas)",guitar,https://imslp.org/wiki/12_Menuets_brillans_pour_Guitare%2C_Op.15_(Matiegka%2C_Wenzel_Thomas)
3867,"Sor, Fernando",1778,1839,,"Menuets pour la Guitare (Sor, Fernando)",guitar,https://imslp.org/wiki/Menuets_pour_la_Guitare_(Sor%2C_Fernando)
3868,"Magnien, Victor",1802,1885,,"6 Menuets, Op.16 (Magnien, Victor)",Guitar,https://imslp.org/wiki/6_Menuets%2C_Op.16_(Magnien%2C_Victor)
3869,"Albert, Heinrich (guitarist)",1870,1950,,"Menuett in C major (Albert, Heinrich @guitarist^)",guitar,https://imslp.org/wiki/Menuett_in_C_major_(Albert%2C_Heinrich_%40guitarist%5E)
3870,"Cottin, Alfred",1863,1923,,"Menuet (Cottin, Alfred)",guitar,https://imslp.org/wiki/Menuet_(Cottin%2C_Alfred)
3871,"Dorn, Charles James",1839,1909,,"Menuet (Dorn, Charles James)",guitar,https://imslp.org/wiki/Menuet_(Dorn%2C_Charles_James)
3872,"Garcia Tolsa, Carlos",1858,1905,,"Mercedes (Garcia Tolsa, Carlos)",guitar,https://imslp.org/wiki/Mercedes_(Garcia_Tolsa%2C_Carlos)
3873,"Visser, Dick",1926,2012,,"Merci, Monsieur Fibonacci (Visser, Dick)","recorder, guitar",https://imslp.org/wiki/Merci%2C_Monsieur_Fibonacci_(Visser%2C_Dick)
3874,"Falorni, Giovanni",1862,1944,,"Merletti antichi (Falorni, Giovanni)","2 mandolins, mandola, guitar",https://imslp.org/wiki/Merletti_antichi_(Falorni%2C_Giovanni)
3875,"Abt, Valentine",1873,1942,,"The Mermaid's Dream (Abt, Valentine)",guitar,https://imslp.org/wiki/The_Mermaid's_Dream_(Abt%2C_Valentine)
3876,"Stahl, William C.",1869,1940,,"Merry Gossip (Stahl, William C.)","mandolin (or violin), guitar",https://imslp.org/wiki/Merry_Gossip_(Stahl%2C_William_C.)
3877,"Hayden, Winslow Lewis",1839,1886,,"The Merry Hearted Waltz (Hayden, Winslow Lewis)",guitar,https://imslp.org/wiki/The_Merry_Hearted_Waltz_(Hayden%2C_Winslow_Lewis)
3878,"Weidt, Albert John",1866,1945,,"Merry Moments (Weidt, Albert John)",2 guitars,https://imslp.org/wiki/Merry_Moments_(Weidt%2C_Albert_John)
3879,"Sor, Fernando",1778,1839,,"Mes Ennuis, Op.43 (Sor, Fernando)",guitar,https://imslp.org/wiki/Mes_Ennuis%2C_Op.43_(Sor%2C_Fernando)
3880,"Watson, Steven",,,,"Mes Ennuis (Watson, Steven)",guitar,https://imslp.org/wiki/Mes_Ennuis_(Watson%2C_Steven)
3881,"Henry, Bonaventure",1780,1825,,"Mes fantaisies, Op.19 (Henry, Bonaventure)",guitar,https://imslp.org/wiki/Mes_fantaisies%2C_Op.19_(Henry%2C_Bonaventure)
3882,"Pettoletti, Pietro",1795,1870,,"Mes Souveniers, Op.6 (Pettoletti, Pietro)","solo guitar, guitar duett",https://imslp.org/wiki/Mes_Souveniers%2C_Op.6_(Pettoletti%2C_Pietro)
3883,"Spada, Luca",,,,"Messa Melodica, Op.60 (Spada, Luca)","Voices:mixed chorus (SABar)Orchestra:flute, oboe, tenor saxophone (B♭), euphonium, guitar, violin, cello",https://imslp.org/wiki/Messa_Melodica%2C_Op.60_(Spada%2C_Luca)
3884,"Spada, Luca",,,,"Messa moderna No.2, Op.44 (Spada, Luca)","mixed chorus (SAB), flute, guitar, violin, bass",https://imslp.org/wiki/Messa_moderna_No.2%2C_Op.44_(Spada%2C_Luca)
3885,"Spada, Luca",,,,"Messa moderna, Op.22 (Spada, Luca)","3/one voice, guitar, flute, violin and bass",https://imslp.org/wiki/Messa_moderna%2C_Op.22_(Spada%2C_Luca)
3886,"Llobet, Miguel",1878,1938,,"El Mestre (Llobet, Miguel)",guitar,https://imslp.org/wiki/El_Mestre_(Llobet%2C_Miguel)
3887,"Mirzazade, Khayyam",1935,2018,,"Metamorphoses (Mirzazade, Khayyam)","recorder, guitar",https://imslp.org/wiki/Metamorphoses_(Mirzazade%2C_Khayyam)
3888,"Legnani, Luigi",1790,1877,,"Method for the Guitar, Op.250 (Legnani, Luigi)",guitar,https://imslp.org/wiki/Method_for_the_Guitar%2C_Op.250_(Legnani%2C_Luigi)
3889,"Plouvier, Pierre Joseph",,1826,,"Méthode complète de Guitare ou Lyre, Op.22 (Plouvier, Pierre Joseph)","guitar (or lyre guitar); 2 guitars; voice and guitar; flute, guitar; violin, guitar",https://imslp.org/wiki/M%C3%A9thode_compl%C3%A8te_de_Guitare_ou_Lyre%2C_Op.22_(Plouvier%2C_Pierre_Joseph)
3890,"Carcassi, Matteo",1792,1853,,"Méthode complète pour la guitare, Op.59 (Carcassi, Matteo)",guitar,https://imslp.org/wiki/M%C3%A9thode_compl%C3%A8te_pour_la_guitare%2C_Op.59_(Carcassi%2C_Matteo)
3891,"Sor, Fernando",1778,1839,,"Méthode complète pour la guitare (Sor, Fernando)","guitar; voice, guitar",https://imslp.org/wiki/M%C3%A9thode_compl%C3%A8te_pour_la_guitare_(Sor%2C_Fernando)
3892,"Carulli, Ferdinando",1770,1841,,"Méthode complète pour le Décacorde, Op.293 (Carulli, Ferdinando)","10-string guitar; voice, 10-string guitar; violin, 10-string guitar; 6-string guitar and 10-string guitar",https://imslp.org/wiki/M%C3%A9thode_compl%C3%A8te_pour_le_D%C3%A9cacorde%2C_Op.293_(Carulli%2C_Ferdinando)
3893,"Carulli, Ferdinando",1770,1841,,"Méthode complète, Op.27 (Carulli, Ferdinando)",guitar,https://imslp.org/wiki/M%C3%A9thode_compl%C3%A8te%2C_Op.27_(Carulli%2C_Ferdinando)
3894,"Marescot, Charles de",1807,1839,,"Methode de guitare divisée en deux parties, Op.15 (Marescot, Charles de)",guitar,https://imslp.org/wiki/Methode_de_guitare_divis%C3%A9e_en_deux_parties%2C_Op.15_(Marescot%2C_Charles_de)
3895,"Huerta, Francisco Trinidad",1800,1879,,"Méthode de guitare et divertissements favoris (Huerta, Francisco Trinidad)",guitar,https://imslp.org/wiki/M%C3%A9thode_de_guitare_et_divertissements_favoris_(Huerta%2C_Francisco_Trinidad)
3896,"Castro, Salvador",1770,1831,,"Methode de Guitare ou Lyre (Castro, Salvador)",guitar (or lyre-guitar),https://imslp.org/wiki/Methode_de_Guitare_ou_Lyre_(Castro%2C_Salvador)
3897,"Meissonnier, Joseph",1790,1855,,"Méthode de guitare ou lyre (Meissonnier, Joseph)",lyre-guitar (or guitar),https://imslp.org/wiki/M%C3%A9thode_de_guitare_ou_lyre_(Meissonnier%2C_Joseph)
3898,"Bosch, Jacques",1825,1895,,"Méthode de guitare (Bosch, Jacques)",guitar,https://imslp.org/wiki/M%C3%A9thode_de_guitare_(Bosch%2C_Jacques)
3899,"Gatayes, Guillaume-Pierre-Antoine",1774,1846,,"Méthode de guitare (Gatayes, Guillaume-Pierre-Antoine)",guitar,https://imslp.org/wiki/M%C3%A9thode_de_guitare_(Gatayes%2C_Guillaume-Pierre-Antoine)
3900,"Molino, Francesco",1775,1847,,"Méthode pour apprendre le Solfège, Op.48 (Molino, Francesco)","voice ; voice and guitar; voice, chorus, guitar; 2 voices, guitar (piano mentioned in title)",https://imslp.org/wiki/M%C3%A9thode_pour_apprendre_le_Solf%C3%A8ge%2C_Op.48_(Molino%2C_Francesco)
3901,"Henry, Bénigne",1805,1815,,"Méthode pour la Guitare, Op.21 (Henry, Bénigne)",guitar; 2 guitars,https://imslp.org/wiki/M%C3%A9thode_pour_la_Guitare%2C_Op.21_(Henry%2C_B%C3%A9nigne)
3902,"Aubéry du Boulley, Prudent Louis",1796,1870,,"Méthode pour la Guitare, Op.42 (Aubéry du Boulley, Prudent Louis)",guitar; 2 guitars,https://imslp.org/wiki/M%C3%A9thode_pour_la_Guitare%2C_Op.42_(Aub%C3%A9ry_du_Boulley%2C_Prudent_Louis)
3903,"Gatayes, Guillaume-Pierre-Antoine",1774,1846,,"Méthode pour la guitare, Op.80 (Gatayes, Guillaume-Pierre-Antoine)","guitar; 2 guitars; voice, guitar",https://imslp.org/wiki/M%C3%A9thode_pour_la_guitare%2C_Op.80_(Gatayes%2C_Guillaume-Pierre-Antoine)
3904,"Mourey, Colette",,,,"Méthode Progressive de Guitare (Mourey, Colette)",guitar,https://imslp.org/wiki/M%C3%A9thode_Progressive_de_Guitare_(Mourey%2C_Colette)
3905,"Cano, Antonio",1811,1897,,"Método abreviado (Cano, Antonio)",guitar,https://imslp.org/wiki/M%C3%A9todo_abreviado_(Cano%2C_Antonio)
3906,"Damas, Tomás",1825,1890,,"Método completo y progresivo de guitarra (Damas, Tomás)",guitar,https://imslp.org/wiki/M%C3%A9todo_completo_y_progresivo_de_guitarra_(Damas%2C_Tom%C3%A1s)
3907,"Cano, Antonio",1811,1897,,"Método completo (Cano, Antonio)",guitar,https://imslp.org/wiki/M%C3%A9todo_completo_(Cano%2C_Antonio)
3908,"Cano, Federico",1838,1904,,"Método de guitarra (Cano, Federico)",guitar,https://imslp.org/wiki/M%C3%A9todo_de_guitarra_(Cano%2C_Federico)
3909,"Fortea, Daniel",1878,1953,,"Metodo de Guitarra (Fortea, Daniel)",guitar,https://imslp.org/wiki/Metodo_de_Guitarra_(Fortea%2C_Daniel)
3910,"Ruet, Jaime",1860,1880,,"Método de guitarra (Ruet, Jaime)",guitar,https://imslp.org/wiki/M%C3%A9todo_de_guitarra_(Ruet%2C_Jaime)
3911,"Damas, Tomás",1825,1890,,"Método de solfeo abreviado con acompañamiento de guitarra (Damas, Tomás)",guitar,https://imslp.org/wiki/M%C3%A9todo_de_solfeo_abreviado_con_acompa%C3%B1amiento_de_guitarra_(Damas%2C_Tom%C3%A1s)
3912,"Munier, Carlo",1859,1911,,"Metodo elementare per Chitarra,Op.284 (Munier, Carlo)",guitar,https://imslp.org/wiki/Metodo_elementare_per_Chitarra%2COp.284_(Munier%2C_Carlo)
3913,"Roch, Pascual",1860,1921,,"Método moderno para guitarra (Roch, Pascual)",guitar,https://imslp.org/wiki/M%C3%A9todo_moderno_para_guitarra_(Roch%2C_Pascual)
3914,"Damas, Tomás",1825,1890,,"Método o nuevos principios elementales para guitarra (Damas, Tomás)",guitar,https://imslp.org/wiki/M%C3%A9todo_o_nuevos_principios_elementales_para_guitarra_(Damas%2C_Tom%C3%A1s)
3915,"Ruet, Jaime",1860,1880,,"Método para guitarra (Ruet, Jaime)",guitar,https://imslp.org/wiki/M%C3%A9todo_para_guitarra_(Ruet%2C_Jaime)
3916,"Moretti, Federico",1769,1839,,"Metodo per la chitarra a sei corde, Op.1 (Moretti, Federico)",guitar,https://imslp.org/wiki/Metodo_per_la_chitarra_a_sei_corde%2C_Op.1_(Moretti%2C_Federico)
3917,"Folk Songs, Brazilian",,,,"Meu São Benedito, ele é santo de preto (Folk Songs, Brazilian)","voice, guitar",https://imslp.org/wiki/Meu_S%C3%A3o_Benedito%2C_ele_%C3%A9_santo_de_preto_(Folk_Songs%2C_Brazilian)
3918,"Coste, Napoléon",1805,1883,,"Meulan, Op.22 (Coste, Napoléon)",guitar,https://imslp.org/wiki/Meulan%2C_Op.22_(Coste%2C_Napol%C3%A9on)
3919,"Biagi, Manlio",1896,1942,,"La Mezzanotte, Op.87 (Biagi, Manlio)","voice, guitar",https://imslp.org/wiki/La_Mezzanotte%2C_Op.87_(Biagi%2C_Manlio)
3920,"Fortea, Daniel",1878,1953,,"Mi favorita (Fortea, Daniel)",guitar,https://imslp.org/wiki/Mi_favorita_(Fortea%2C_Daniel)
3921,"Alba, Antonio",1873,1940,,"A mi Gloria, Op.108 (Alba, Antonio)",guitar,https://imslp.org/wiki/A_mi_Gloria%2C_Op.108_(Alba%2C_Antonio)
3922,"Damas, Tomás",1825,1890,,"A mi morena (Damas, Tomás)",guitar,https://imslp.org/wiki/A_mi_morena_(Damas%2C_Tom%C3%A1s)
3923,"García Fortea, Severino",,1931,,"A mi moreno (García Fortea, Severino)",guitar,https://imslp.org/wiki/A_mi_moreno_(Garc%C3%ADa_Fortea%2C_Severino)
3924,"Alba, Antonio",1873,1940,,"Mi negro, Op.94 (Alba, Antonio)",guitar,https://imslp.org/wiki/Mi_negro%2C_Op.94_(Alba%2C_Antonio)
3925,"Rodríguez Arenas, Mario",1879,1949,,"Mi Rancho (Rodríguez Arenas, Mario)","voice, guitar",https://imslp.org/wiki/Mi_Rancho_(Rodr%C3%ADguez_Arenas%2C_Mario)
3926,"Hokin, Samuel",,,,"Mi Rumba (Hokin, Samuel)",guitar,https://imslp.org/wiki/Mi_Rumba_(Hokin%2C_Samuel)
3927,"Arcas, Julián",1832,1882,,"Mi segunda Época (Arcas, Julián)",guitar,https://imslp.org/wiki/Mi_segunda_%C3%89poca_(Arcas%2C_Juli%C3%A1n)
3928,"Alba, Antonio",1873,1940,,"Mi tesoro, Op.24 (Alba, Antonio)",guitar,https://imslp.org/wiki/Mi_tesoro%2C_Op.24_(Alba%2C_Antonio)
3929,"Falconieri, Andrea",1586,1656,,"La mia filli (Falconieri, Andrea)","voice, continuo",https://imslp.org/wiki/La_mia_filli_(Falconieri%2C_Andrea)
3930,"Biagi, Manlio",1896,1942,,"A mia madre, Op.75 (Biagi, Manlio)",guitar,https://imslp.org/wiki/A_mia_madre%2C_Op.75_(Biagi%2C_Manlio)
3931,"Schulz, Rainer",,,,"Mich wundert (Schulz, Rainer)","voice, guitar",https://imslp.org/wiki/Mich_wundert_(Schulz%2C_Rainer)
3932,"Rosati, Dante",,,,"Microscopic Waltz (Rosati, Dante)",guitar,https://imslp.org/wiki/Microscopic_Waltz_(Rosati%2C_Dante)
3933,"Mattos, Fernando",,,,"Microtonal Prelude (Mattos, Fernando)",guitar,https://imslp.org/wiki/Microtonal_Prelude_(Mattos%2C_Fernando)
3934,"León Egea, Ramón",,,,"Midnight, Op.67 (León Egea, Ramón)",classical guitar or 10 String Guitar,https://imslp.org/wiki/Midnight%2C_Op.67_(Le%C3%B3n_Egea%2C_Ram%C3%B3n)
3935,"Eulenstein, Charles",1802,1890,,"Military Divertimento for the Guitar (Eulenstein, Charles)",guitar,https://imslp.org/wiki/Military_Divertimento_for_the_Guitar_(Eulenstein%2C_Charles)
3936,"Pratten, Catharina Josepha",1821,1895,,"Military March (Pratten, Catharina Josepha)",guitar,https://imslp.org/wiki/Military_March_(Pratten%2C_Catharina_Josepha)
3937,"Morales, Justo Tomás",1877,1953,,"Milonga Argentina (Morales, Justo Tomás)",guitar,https://imslp.org/wiki/Milonga_Argentina_(Morales%2C_Justo_Tom%C3%A1s)
3938,"Tavolaro, Fernando Carlos",,,,"Milonga No.4 (Tavolaro, Fernando Carlos)","flute, guitar",https://imslp.org/wiki/Milonga_No.4_(Tavolaro%2C_Fernando_Carlos)
3939,"Tavolaro, Fernando Carlos",,,,"Milonga No.5 (Tavolaro, Fernando Carlos)",flute and guitar,https://imslp.org/wiki/Milonga_No.5_(Tavolaro%2C_Fernando_Carlos)
3940,"Iparraguirre, Pedro Antonio",1879,1931,,"Milonga Popular (Iparraguirre, Pedro Antonio)",guitar,https://imslp.org/wiki/Milonga_Popular_(Iparraguirre%2C_Pedro_Antonio)
3941,"Rocha, Davi",,,,"Milonga Reluzente (Rocha, Davi)",2 guitars,https://imslp.org/wiki/Milonga_Reluzente_(Rocha%2C_Davi)
3942,"Rodríguez Arenas, Mario",1879,1949,,"Milonga, Op.1 (Rodríguez Arenas, Mario)",guitar,https://imslp.org/wiki/Milonga%2C_Op.1_(Rodr%C3%ADguez_Arenas%2C_Mario)
3943,"Morales, Justo Tomás",1877,1953,,"Mimita (Morales, Justo Tomás)",guitar,https://imslp.org/wiki/Mimita_(Morales%2C_Justo_Tom%C3%A1s)
3944,"Luczak, Hugo",1870,1940,,"Min Nackeldei (Luczak, Hugo)",Guitar,https://imslp.org/wiki/Min_Nackeldei_(Luczak%2C_Hugo)
3945,"Vysotsky, Mikhail",1791,1837,,"Min Näktergal (Vysotsky, Mikhail)",Guitar,https://imslp.org/wiki/Min_N%C3%A4ktergal_(Vysotsky%2C_Mikhail)
3946,"Albano da Conceição, Levino",1883,1955,,"Minha Caçula (Albano da Conceição, Levino)",guitar,https://imslp.org/wiki/Minha_Ca%C3%A7ula_(Albano_da_Concei%C3%A7%C3%A3o%2C_Levino)
3947,"Visser, Dick",1926,2012,,"Mini Hi-Fi Component System (Visser, Dick)","4, 8 or 12 guitars",https://imslp.org/wiki/Mini_Hi-Fi_Component_System_(Visser%2C_Dick)
3948,"Pérez, Sergio Aarón",,,,"Miniatura para contemplar (Pérez, Sergio Aarón)",4 guitars (or guitar orchestra),https://imslp.org/wiki/Miniatura_para_contemplar_(P%C3%A9rez%2C_Sergio_Aar%C3%B3n)
3949,"Sagreras, Julio Salvador",1879,1942,,"Miniatura, Op.20 (Sagreras, Julio Salvador)",guitar,https://imslp.org/wiki/Miniatura%2C_Op.20_(Sagreras%2C_Julio_Salvador)
3950,"Guestrin, Néstor",,,,"Miniaturas (Guestrin, Néstor)",Guitar,https://imslp.org/wiki/Miniaturas_(Guestrin%2C_N%C3%A9stor)
3951,"Hopkins-Burke, Oliver",,2000,,"Miniature No.1 (Hopkins-Burke, Oliver)","piano, guitar",https://imslp.org/wiki/Miniature_No.1_(Hopkins-Burke%2C_Oliver)
3952,"Alink, Bert",,,,"Miniature Waltz (Alink, Bert)",Guitar,https://imslp.org/wiki/Miniature_Waltz_(Alink%2C_Bert)
3953,"Torre, Salvador",,,,"9 Miniatures for Various Instruments (Torre, Salvador)",See individual miniatures,https://imslp.org/wiki/9_Miniatures_for_Various_Instruments_(Torre%2C_Salvador)
3954,"Luckner, Georg",1882,1918,,"Minnelied Mararetens von Österreich (Luckner, Georg)",Voice and Guitar/Lute,https://imslp.org/wiki/Minnelied_Mararetens_von_%C3%96sterreich_(Luckner%2C_Georg)
3955,"Sanz, Gaspar",1640,1710,,"La Miñona de Cataluña (Sanz, Gaspar)",5-course baroque guitar,https://imslp.org/wiki/La_Mi%C3%B1ona_de_Catalu%C3%B1a_(Sanz%2C_Gaspar)
3956,"Ludenhoff, Martin",,,,"Minor Blues Licks (Ludenhoff, Martin)",Guitar,https://imslp.org/wiki/Minor_Blues_Licks_(Ludenhoff%2C_Martin)
3957,"Boden, Andrew David",,,,"A Minor Dance (Boden, Andrew David)","mandolin, guitar, cello",https://imslp.org/wiki/A_Minor_Dance_(Boden%2C_Andrew_David)
3958,"Harrington, Jeffrey Michael",,,,"The Minotaur's Dream (Harrington, Jeffrey Michael)",guitar,https://imslp.org/wiki/The_Minotaur's_Dream_(Harrington%2C_Jeffrey_Michael)
3959,"Anelli, Giuseppe",1787,1865,,"The Minstrel to his Steed (Anelli, Giuseppe)","voice, guitar",https://imslp.org/wiki/The_Minstrel_to_his_Steed_(Anelli%2C_Giuseppe)
3960,"Ferrer, José",1835,1916,,"Minue para Guitarron y Guitarra (Ferrer, José)","guitar, guitarron; 2 guitars",https://imslp.org/wiki/Minue_para_Guitarron_y_Guitarra_(Ferrer%2C_Jos%C3%A9)
3961,"Ferrer, José",1835,1916,,"Minué, Op.49 (Ferrer, José)",guitar,https://imslp.org/wiki/Minu%C3%A9%2C_Op.49_(Ferrer%2C_Jos%C3%A9)
3962,"Ferrer, José",1835,1916,,"Minué, Op.56 (Ferrer, José)",guitar,https://imslp.org/wiki/Minu%C3%A9%2C_Op.56_(Ferrer%2C_Jos%C3%A9)
3963,"Ferrer, José",1835,1916,,"12 Minués, Op.12 (Ferrer, José)",guitar,https://imslp.org/wiki/12_Minu%C3%A9s%2C_Op.12_(Ferrer%2C_Jos%C3%A9)
3964,"Luckner, Georg",1882,1918,,"Minuet for 2 Guitars (Luckner, Georg)",2 guitars,https://imslp.org/wiki/Minuet_for_2_Guitars_(Luckner%2C_Georg)
3965,"Chakravorty, Kingshuk",,,,"Minuet in A minor (Chakravorty, Kingshuk)","flute, guitar",https://imslp.org/wiki/Minuet_in_A_minor_(Chakravorty%2C_Kingshuk)
3966,"Barrios Mangoré, Agustín",1885,1944,,"Minuet in C major (Barrios Mangoré, Agustín)",guitar,https://imslp.org/wiki/Minuet_in_C_major_(Barrios_Mangor%C3%A9%2C_Agust%C3%ADn)
3967,"Coste, Napoléon",1805,1883,,"Minuet in D major (Coste, Napoléon)",Guitar,https://imslp.org/wiki/Minuet_in_D_major_(Coste%2C_Napol%C3%A9on)
3968,"Sor, Fernando",1778,1839,,"Minuet in D major (Sor, Fernando)",guitar,https://imslp.org/wiki/Minuet_in_D_major_(Sor%2C_Fernando)
3969,"Alink, Bert",,,,"Minuet in D minor (Alink, Bert)",guitar,https://imslp.org/wiki/Minuet_in_D_minor_(Alink%2C_Bert)
3970,"Arcas, Julián",1832,1882,,"Minuet in E minor (Arcas, Julián)",guitar,https://imslp.org/wiki/Minuet_in_E_minor_(Arcas%2C_Juli%C3%A1n)
3971,"Foden, William",1860,1947,,"Minuet in F major (Foden, William)",Guitar,https://imslp.org/wiki/Minuet_in_F_major_(Foden%2C_William)
3972,"Alink, Bert",,,,"Minuet in G major (Alink, Bert)",guitar,https://imslp.org/wiki/Minuet_in_G_major_(Alink%2C_Bert)
3973,"Arcas, Julián",1832,1882,,"Minuet in G major (Arcas, Julián)",guitar,https://imslp.org/wiki/Minuet_in_G_major_(Arcas%2C_Juli%C3%A1n)
3974,"Smirnow, Jewgeni",,,,"Minuet No.1 (Smirnow, Jewgeni)",guitar,https://imslp.org/wiki/Minuet_No.1_(Smirnow%2C_Jewgeni)
3975,"Sor, Carlos",1785,1840,,"Minuet pour la Guitare (Sor, Carlos)",guitar,https://imslp.org/wiki/Minuet_pour_la_Guitare_(Sor%2C_Carlos)
3976,"Roldan, Eugène",,,,"Minuete (Roldan, Eugène)",guitar,https://imslp.org/wiki/Minuete_(Roldan%2C_Eug%C3%A8ne)
3977,"Macedo, Norberto",1939,2011,,"Minueto em Santarém (Macedo, Norberto)",guitar,https://imslp.org/wiki/Minueto_em_Santar%C3%A9m_(Macedo%2C_Norberto)
3978,"Barrios Mangoré, Agustín",1885,1944,,"Minueto en Mi Mayor (Barrios Mangoré, Agustín)",guitar,https://imslp.org/wiki/Minueto_en_Mi_Mayor_(Barrios_Mangor%C3%A9%2C_Agust%C3%ADn)
3979,"Barrios Mangoré, Agustín",1885,1944,,"Minueto en Si Mayor (Barrios Mangoré, Agustín)",guitar,https://imslp.org/wiki/Minueto_en_Si_Mayor_(Barrios_Mangor%C3%A9%2C_Agust%C3%ADn)
3980,"Barrios Mangoré, Agustín",1885,1944,,"Minueto No.1 in A minor (Barrios Mangoré, Agustín)",guitar,https://imslp.org/wiki/Minueto_No.1_in_A_minor_(Barrios_Mangor%C3%A9%2C_Agust%C3%ADn)
3981,"Barrios Mangoré, Agustín",1885,1944,,"Minueto No.2 in A major (Barrios Mangoré, Agustín)",guitar,https://imslp.org/wiki/Minueto_No.2_in_A_major_(Barrios_Mangor%C3%A9%2C_Agust%C3%ADn)
3982,"Manjón, Antonio Jimenez",1866,1919,,"Minueto (Manjón, Antonio Jimenez)",Guitar,https://imslp.org/wiki/Minueto_(Manj%C3%B3n%2C_Antonio_Jimenez)
3983,"Aguado, Dionisio",1784,1849,,"6 Minuets and Waltzes, Op.12 (Aguado, Dionisio)",guitar,https://imslp.org/wiki/6_Minuets_and_Waltzes%2C_Op.12_(Aguado%2C_Dionisio)
3984,"Vidigal, Manuel José",,1805,,"6 Minuets for Guitar and Bass (Vidigal, Manuel José)","guitar, bass instrument",https://imslp.org/wiki/6_Minuets_for_Guitar_and_Bass_(Vidigal%2C_Manuel_Jos%C3%A9)
3985,"Falloni, Matteo",,,,"Minuetto antico (Falloni, Matteo)","guitar, string quartet",https://imslp.org/wiki/Minuetto_antico_(Falloni%2C_Matteo)
3986,"Carulli, Ferdinando",1770,1841,,"Minuetto e Controdanza scordati per Chitarra (Carulli, Ferdinando)",guitar,https://imslp.org/wiki/Minuetto_e_Controdanza_scordati_per_Chitarra_(Carulli%2C_Ferdinando)
3987,"Munier, Carlo",1859,1911,,"Minuetto e Gavotta, Op.181 (Munier, Carlo)","mandolin, guitar",https://imslp.org/wiki/Minuetto_e_Gavotta%2C_Op.181_(Munier%2C_Carlo)
3988,"Dorn, Charles James",1839,1909,,"Minuetto from 'Don Giovanni' (Dorn, Charles James)",guitar,https://imslp.org/wiki/Minuetto_from_'Don_Giovanni'_(Dorn%2C_Charles_James)
3989,"Moretti, Federico",1769,1839,,"Minuetto in A major (Moretti, Federico)",guitar,https://imslp.org/wiki/Minuetto_in_A_major_(Moretti%2C_Federico)
3990,"Tárrega, Francisco",1852,1909,,"Minuetto in E major (Tárrega, Francisco)",guitar,https://imslp.org/wiki/Minuetto_in_E_major_(T%C3%A1rrega%2C_Francisco)
3991,"Molino, Francesco",1775,1847,,"Minuetto (Molino, Francesco)",Guitar,https://imslp.org/wiki/Minuetto_(Molino%2C_Francesco)
3992,"Moretti, Federico",1769,1839,,"Minuetto (Moretti, Federico)",guitar,https://imslp.org/wiki/Minuetto_(Moretti%2C_Federico)
3993,"Ferrandiere, Fernando",1771,1816,,"Minuet (Ferrandiere, Fernando)",guitar,https://imslp.org/wiki/Minuet_(Ferrandiere%2C_Fernando)
