ID,Name,Birth Year,Death Year,Country,Work,Instrumentation,Link
36,"Abella, Alberto",,,Uruguay,Una Lágrima sobre mi Guitarra,Solo,https://www.sheerpluck.de/composition-84263-16846-alberto-abella-una-lagrima-sobre-mi-guitarra
37,"Abigaña, Brett",,,USA,Three Poems of W. B. Yeats,Chamber Music: soprano - guitar,https://www.sheerpluck.de/composition-66399-14004-brett-abigana-three-poems-of-w-b-yeats
38,"Ablinger, Peter",1959,,Austria,1-127,Guitar with Fixed Media: electric guitar - CD,https://www.sheerpluck.de/composition-7561-14-peter-ablinger-1-127
39,"Ablinger, Peter",1959,,Austria,Exercitium 1-6,Solo,https://www.sheerpluck.de/composition-8-14-peter-ablinger-exercitium-1-6
40,"Ablinger, Peter",1959,,Austria,Notes & Bloc-Notes,Orchestra: 0.0.2.2ssax.2asax.tsax.1 - 0.1.euph.0.0 - 3perc-pft-acc-egtr - 1.0.3.3.2 - electronic performer (2),https://www.sheerpluck.de/composition-77951-14-peter-ablinger-notes-bloc-notes
41,"Ablinger, Peter",1959,,Austria,Remove.Terminate.Exit,Installation/Sound Environment: guitar (=electric guitar) - speaker (2) - 1.1.1.1 - 1.1.1.0 - pft-hrp - 1.1.1.1.1 - live electronics - dripping bathrobe (50),https://www.sheerpluck.de/composition-77952-14-peter-ablinger-removeterminateexit
42,"Ablinger, Peter",1959,,Austria,Titel,"Chamber Music: guitar, violin",https://www.sheerpluck.de/composition-77950-14-peter-ablinger-titel
43,"Abondano, Michele",1981,,Colombia,Distancia entre dos puntos perdidos,"Chamber Music: bass recorder (=Garklein recorder), trumpet, electric guitar, violoncello",https://www.sheerpluck.de/composition-81878-16559-michele-abondano-distancia-entre-dos-puntos-perdidos
44,"Abondano, Michele",1981,,Colombia,Just An Attempt To Dissipate,"Chamber Music: soprano - alto flute, bass clarinet, guitar",https://www.sheerpluck.de/composition-81876-16559-michele-abondano-just-an-attempt-to-dissipate
45,"Abondano, Michele",1981,,Colombia,Soundless as dots on a disk of snow,"Chamber Music: flute, bass clarinet, percussion, electric guitar",https://www.sheerpluck.de/composition-81877-16559-michele-abondano-soundless-as-dots-on-a-disk-of-snow
46,"Abondano, Michele",1981,,Colombia,ya no soy yo,"Chamber Music: bass flute, clarinet, guitar, violin, violoncello",https://www.sheerpluck.de/composition-81875-16559-michele-abondano-ya-no-soy-yo
47,"Abou-afach, Kinan",,,Syria,Message in a Bottle,"Chamber Music: harp, guitar",https://www.sheerpluck.de/composition-81927-16569-kinan-abou-afach-message-in-a-bottle
48,"Abou-afach, Kinan",,,Syria,Munajat (soliloquy),"Chorus and Guitar: SATB chorus - guitar (ad lib.), violoncello (ad lib.)",https://www.sheerpluck.de/composition-81925-16569-kinan-abou-afach-munajat-soliloquy
49,"Abou-afach, Kinan",,,Syria,"Sand, Land, and Falling Metal","Chamber Music: guitar, violin (2), viola, violoncello",https://www.sheerpluck.de/composition-81926-16569-kinan-abou-afach-sand-land-and-falling-metal
50,"Abrahami, Gad",1952,,Israel,Crossed Over the City Like a Giant Bird,"Chamber Music: guitar, violin, viola, violoncello",https://www.sheerpluck.de/composition-55057-12045-gad-abrahami-crossed-over-the-city-like-a-giant-bird
51,"Abrahami, Gad",1952,,Israel,Serenade,Concerto: guitar - strings,https://www.sheerpluck.de/composition-55058-12045-gad-abrahami-serenade
52,"Abrahamsen, Hans",1952,,Denmark,Aria,"Chamber Music: soprano - flute, alto saxophone, percussion, guitar",https://www.sheerpluck.de/composition-16174-15-hans-abrahamsen-aria
53,"Abrahamsen, Hans",1952,,Denmark,Double,"Chamber Music: flute, guitar",https://www.sheerpluck.de/composition-16173-15-hans-abrahamsen-double
54,"Abrahamsen, Hans",1952,,Denmark,Efterår,"Chamber Music: tenor (or soprano) - flute (=alto flute), guitar, violoncello",https://www.sheerpluck.de/composition-14-15-hans-abrahamsen-efterar
55,"Abrahamsen, Hans",1952,,Denmark,Four Pieces for Orchestra,"Orchestra: 4(I-IV=picc).4(IV=corA).6(I=Ebcl,II-IV=bcl).4.2dbn - 8.4.4.2 - 2timp-4perc-2hrp-pft-cel-gtr-mand - 16.14.12.10.8",https://www.sheerpluck.de/composition-21071-15-hans-abrahamsen-four-pieces-for-orchestra
56,"Abrahamsen, Hans",1952,,Denmark,Koncert for klaver og orkester,Orchestra: piano - 1.1.2.1 - 1.1.1.0 - 3perc-hrp-gtr-Horg(=cel) - 1.1.1.1.1,https://www.sheerpluck.de/composition-11-15-hans-abrahamsen-koncert-for-klaver-og-orkester
57,"Abrahamsen, Hans",1952,,Denmark,Slumsange,"Chamber Music: baritone - flute, trumpet, guitar, double bass",https://www.sheerpluck.de/composition-16172-15-hans-abrahamsen-slumsange
58,"Abrahamsen, Hans",1952,,Denmark,Winternacht,"Chamber Music: flute, clarinet, percussion, piano, guitar, violin, violoncello",https://www.sheerpluck.de/composition-13-15-hans-abrahamsen-winternacht
